ID,SENIN18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRAUNLIB,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,DONNELLYLIB,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBRAUN,FAVDEM2,FAVDONNELLY,FAVMCONL,FAVPARTY,FAVPELOSI,FAVPENCE,FAVREP2,FAVSENIN18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVIN18,KAVIN18A,KAVIN18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN_1,TIME18SENMONTH_1,TIME18SENWEEK_1,TIME18SEN_2,TRADE18,TRADEBRAUN,TRADEDONNELLY,TRADEIN18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VETVOTER,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2
7045,Mike Braun,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,About right,No, ,2,The Republican Party, ,Too liberal,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , ,Omit, ,Unfavorable,Favorable, , , , , ,2,Yes, ,The Republican Party, , , , , , , ,The economy,An important factor,Important,A factor,No, , , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,Rural,Small Cities/Rural,Indiana,Other, ,Telephone survey, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,1.07801795005798, ,All others, , 
7046,Joe Donnelly,Overturn it,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Too conservative,No, ,6,The Democratic Party, ,About right,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , ,Unfavorable, ,Unfavorable,Favorable, , , , , ,4,Yes, ,Omit, , , , , , , ,Immigration,Not a factor at all,Not important,Not a factor,No, , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,The Democratic candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Telephone survey, , , , , , , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 3,No, ,.775922298431396, ,All others, , 
7056,Mike Braun,Overturn it,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,About right,Yes, ,7,The Republican Party, ,Too liberal,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates, , , ,Favorable, ,Unfavorable,Favorable, , , , , ,3,No, ,The Republican Party, , , , , , , ,Immigration,Not a factor at all,Not important,Not a factor,No, , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Telephone survey, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,7.10254621505737, ,White Born-again/Evangelical Christians, , 
7058,Mike Braun,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,About right,No, ,9,The Republican Party, ,Too liberal,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates, , , ,Favorable, ,Unfavorable,Favorable, , , , , ,5,Yes, ,The Republican Party, , , , , , , ,Immigration,An important factor,Important,A factor,No, , , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate, ,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Telephone survey, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,1.41585850715637, ,All others, , 
7064,Joe Donnelly,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Too liberal,Yes, ,1,The Democratic Party, ,About right,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites, , , ,Omit, ,Favorable,Unfavorable, , , , , ,1,No, ,The Democratic Party, , , , , , , ,Gun policy,The most important factor,Important,A factor,No, , , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire, ,Black,Non-white,Black,Midwest, ,The Democratic candidate,Female,Black women, , , ,Suburbs,Suburbs,Indiana,Other, ,Telephone survey, , , , , , , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 3,No, ,.899801015853882, ,All others, , 
7073,Joe Donnelly,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Too liberal,Yes, ,8,The Democratic Party, ,About right,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates, , , ,Unfavorable, ,Unfavorable,Favorable, , , , , ,5,Yes, ,Omit, , , , , , , ,The economy,An important factor,Important,A factor,No, , , ,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire, ,White,White,White,Midwest, ,The Democratic candidate,Female,White women, , , ,Rural,Small Cities/Rural,Indiana,Other, ,Telephone survey, , , , , , , , ,Strongly or somewhat approve,Somewhat approve, ,Version 3,No, ,.707697331905365, ,White Born-again/Evangelical Christians, , 
27749,Mike Braun,Overturn it,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , , ,9,The Republican Party, , ,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates, , , , , , , , , , , ,No,5, , , , , , , , , , , , , , , , , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,National questionnaire, ,White,White, ,Midwest, ,The Republican candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Telephone survey, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 1,No,Donald Trump,2.60745191574097, , , , 
27751,Joe Donnelly,Overturn it,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete, , , ,7,The Democratic Party, , ,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites, , , , , , , , , , , ,No,3, , , , , , , , , , , , , , , , , , ,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire, ,Black,Non-white, ,Midwest, ,The Democratic candidate,Male,Black men, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Telephone survey, , , , , , , , ,Strongly or somewhat approve,Somewhat approve, ,Version 1,No,Hillary Clinton,3.74354076385498, , , , 
27754,Mike Braun,Overturn it,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , , ,5,The Republican Party, , ,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates, , , , , , , , , , , ,No,4, , , , , , , , , , , , , , , , , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,National questionnaire, ,White,White, ,Midwest, ,The Republican candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Telephone survey, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 1,No,Donald Trump,2.65910005569458, , , , 
27764,Mike Braun,Overturn it,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , , ,4,The Republican Party, , ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , ,No,2, , , , , , , , , , , , , , , , , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,National questionnaire, ,White,White, ,Midwest, ,The Republican candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Telephone survey, , , , , , , , ,Strongly or somewhat approve,Somewhat approve, ,Version 1,No,Donald Trump,5.0373477935791, , , , 
30688,Mike Braun,Overturn it,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,About right,Yes,Call 1,7,The Republican Party, ,Too liberal,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , ,Favorable, ,Unfavorable,Favorable, , , , , ,3,Yes, ,The Republican Party, , , , , , , ,The economy,An important factor,Important,A factor,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,71,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Somewhat approve, ,Version 3,Yes, ,.860289335250854, ,White Born-again/Evangelical Christians, , 
31159,Lucy Brenton,Overturn it,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Too conservative,Yes,Call 1,7,The Republican Party, ,Too liberal,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates, , , ,Favorable, ,Favorable,Favorable, , , , , ,3,Yes, ,The Democratic Party, , , , , , , ,The economy,An important factor,Important,A factor,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Liberal,71,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,Other,Male,White men, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Somewhat approve, ,Version 3,Yes, ,.347497016191483, ,White Born-again/Evangelical Christians, , 
31207,Joe Donnelly,Overturn it,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Too conservative,No,Call 1,7,The Democratic Party, ,About right,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , ,Unfavorable, ,Unfavorable,Unfavorable, , , , , ,3,No, ,The Democratic Party, , , , , , , ,The economy,A minor factor,Not important,A factor,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,71,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,The Democratic candidate,Male,White men, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 3,No, ,.454906672239304, ,All others, , 
31271,Mike Braun,Overturn it,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,About right,No,Call 1,6,The Republican Party, ,Too liberal,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates, , , ,Unfavorable, ,Unfavorable,Favorable, , , , , ,2, , ,The Republican Party, , , , , , , ,Health care,An important factor,Important,A factor,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Liberal,15,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women, , , ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,.788311004638672, ,All others, , 
31272,Joe Donnelly,Overturn it,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Too conservative,Yes,Call 1,5,The Democratic Party, ,Too conservative,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites, , , ,Omit, ,Omit,Unfavorable, , , , , ,2,No, ,The Democratic Party, , , , , , , ,Health care,An important factor,Important,A factor,No, , , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Conservative,20,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire, ,Black,Non-white,Black,Midwest, ,The Democratic candidate,Female,Black women, , , ,Rural,Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 3,No, ,1.20641887187958, ,All others, , 
31305,Mike Braun,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Omit,Yes,Call 1,3,The Republican Party, ,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates, , , ,Omit, ,Omit,Favorable, , , , , ,2,No, ,The Republican Party, , , , , , , ,The economy,Omit,Omit,Omit,No, , , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,115,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,Yes, ,.653468310832977, ,White Born-again/Evangelical Christians, , 
31367,Mike Braun,Overturn it,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,About right,Yes,Call 1,3,The Republican Party, ,Omit,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , ,Unfavorable, ,Unfavorable,Favorable, , , , , ,2,Yes, ,Omit, , , , , , , ,Gun policy,An important factor,Important,A factor,No, , , ,18-44,18-64, , , , , , , ,Moderate,115, , ,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,.604974150657654, ,White Born-again/Evangelical Christians, , 
31411,Mike Braun,Overturn it,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete, , ,Call 1,8,The Republican Party, , ,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites, , , , , , , , , , , ,Yes,5, , , , , , , , , , , , , , ,Yes, , , ,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,105,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,National questionnaire, ,Hispanic/Latino,Non-white,Hispanic/Latino,Midwest, ,The Republican candidate,Female,Latino women, , , ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 1,No,Other,1.86883616447449, , , , 
31429,Joe Donnelly,Overturn it,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,About right,No,Call 1,5,The Democratic Party, ,About right,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites, , , ,Unfavorable, ,Favorable,Unfavorable, , , , , ,2,No, ,The Democratic Party, , , , , , , ,Immigration,An important factor,Important,A factor,Yes, , , ,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Conservative,20,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,State questionnaire, ,Hispanic/Latino,Non-white,Hispanic/Latino,Midwest, ,The Democratic candidate,Female,Latino women, , , ,Rural,Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 3,No, ,.864476263523102, ,All others, , 
31448,Mike Braun,Overturn it,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,About right,Yes,Call 1,6,The Republican Party, ,Too liberal,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , ,Favorable, ,Unfavorable,Favorable, , , , , ,5,Yes, ,The Republican Party, , , , , , , ,Gun policy,Not a factor at all,Not important,Not a factor,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,6,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,.923026025295258, ,White Born-again/Evangelical Christians, , 
31457,Mike Braun,Overturn it,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,About right,No,Call 1,7,The Republican Party, ,Too liberal,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , ,Omit, ,Unfavorable,Favorable, , , , , ,3,Yes, ,The Republican Party, , , , , , , ,Gun policy,A minor factor,Not important,A factor,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,76,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,.849260032176971, ,All others, , 
31530,Joe Donnelly,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Too liberal,No,Call 1,3,The Republican Party, ,About right,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , ,Unfavorable, ,Favorable,Unfavorable, , , , , ,2,Yes, ,The Republican Party, , , , , , , ,Omit,The most important factor,Important,A factor,No, , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,115,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,The Democratic candidate,Male,White men, , , ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , , , , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 3,No, ,.939761102199554, ,All others, , 
31565,Mike Braun,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,About right,Yes,Call 1,3,The Republican Party, ,Too liberal,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , ,Favorable, ,Unfavorable,Favorable, , , , , ,2,No, ,The Republican Party, , , , , , , ,The economy,An important factor,Important,A factor,No, , , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,115,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,.520890891551971, ,White Born-again/Evangelical Christians, , 
31593,Mike Braun,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,About right,Yes,Call 1,3,The Republican Party, ,Too liberal,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates, , , ,Unfavorable, ,Unfavorable,Favorable, , , , , ,2,Yes, ,The Republican Party, , , , , , , ,Immigration,An important factor,Important,A factor,No, , , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,115,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,.653468310832977, ,White Born-again/Evangelical Christians, , 
31657,Mike Braun,Overturn it,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Omit,No,Call 1,3,The Republican Party, ,About right,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , ,Unfavorable, ,Unfavorable,Favorable, , , , , ,2,Yes, ,The Republican Party, , , , , , , ,Immigration,A minor factor,Not important,A factor,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Conservative,115,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,.604974150657654, ,All others, , 
31701,Mike Braun,Overturn it,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,About right,Yes,Call 1,6,The Republican Party, ,Too liberal,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , ,Favorable, ,Unfavorable,Favorable, , , , , ,2,Yes, ,The Republican Party, , , , , , , ,Immigration,Not a factor at all,Not important,Not a factor,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,14,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,Yes, ,.589462041854858, ,White Born-again/Evangelical Christians, , 
31743,Mike Braun,Overturn it,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, , ,Call 1,3,The Republican Party, , ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates, , , , , , , , , , , ,No,2, , , , , , , , , , , , , , ,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,98,Independent/Something else,Conservative Republicans,White,White,National questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,Rural,Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 1,No,Donald Trump,.918343245983124, , , , 
31781,Mike Braun,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,About right,Yes,Call 1,7,The Republican Party, ,Too liberal,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , ,Omit, ,Favorable,Favorable, , , , , ,3, , ,The Republican Party, , , , , , , ,Health care,A minor factor,Not important,A factor,No, , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,76,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Somewhat approve, ,Version 3,No, ,.849260032176971, ,White Born-again/Evangelical Christians, , 
31807,Mike Braun,Overturn it,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 1,8,The Republican Party, , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , ,No,5, , , , , , , , , , , , , , ,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Conservative,105,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women, , , ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Somewhat approve, ,Version 1,No,Donald Trump,1.547323346138, , , , 
31814,Mike Braun,Overturn it,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 1,4,The Republican Party, , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , ,No,4, , , , , , , , , , , , , , ,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,85,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Somewhat approve, ,Version 1,No,Donald Trump,1.44643199443817, , , , 
31834,Mike Braun,Overturn it,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,About right,Yes,Call 1,6,The Republican Party, ,Too liberal,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates, , , ,Favorable, ,Unfavorable,Favorable, , , , , ,2,Yes, ,The Republican Party, , , , , , , ,Immigration,An important factor,Important,A factor,No, , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,14,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women, , , ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3,No, ,.636712729930878, ,White Born-again/Evangelical Christians, , 
