,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,TRACK,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPH,INCOME18GEN,INCWHITE,LGBT,NEC,TAXCUTS18,TRADE18,UNITED18
16117,63175,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,Black 45-59,9,Attended college but received no degree,No,Black Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Black,South,"Cities over 500,000",Other,Version 4,0.5770331621170041,Black women,Non-white,Tennessee,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Omit,"$30,000-$49,999","Under $50,000 and non white",No,Not so good,Hurt,Hurt,Becoming more divided
16123,63187,The Democratic candidate,Other,Male,The Democratic candidate,30-39,White 30-44,1,Never attended college,No,White Independent,Something else,Independent Men,Moderate,Moderate Independents,White,East,Suburbs,White suburban men,Version 4,0.234526783227921,White men,White,Maine,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Omit,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
16124,63188,The Democratic candidate,Other,Male,The Democratic candidate,30-39,White 30-44,1,Never attended college,No,White Independent,Something else,Independent Men,Moderate,Moderate Independents,White,East,Suburbs,White suburban men,Version 4,0.234526783227921,White men,White,Maine,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Omit,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
16125,63189,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,White 30-44,3,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban women,Version 4,0.551202893257141,White women,White, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16132,63212,The Republican candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,2,Never attended college,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,East,Suburbs,White suburban men,Version 4,0.668492555618286,White men,White,Connecticut,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more united
16133,63214,The Republican candidate,The Republican candidate,Male,,65 or over,White 60+,4,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Rural,Other,Version 4,0.36722362041473405,White men,White,Arkansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
16144,63239,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,25-29,White 18-29,8,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,East,"Cities over 500,000",Other,Version 4,2.18136954307556,White men,White,Massachusetts,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Not so good,No impact,Hurt,Becoming more divided
16146,63252,The Republican candidate,,Male,The Republican candidate,50-59,White 45-59,4,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 4,0.617964744567871,White men,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,Helped,Helped,Staying about the same
16154,63266,The Democratic candidate,The Democratic candidate,Female,,60-64,White 60+,14,Never attended college,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban women,Version 4,0.789462864398956,White women,White, Illinois,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16155,63268,Other,Other,Female,The Republican candidate,30-39,White 30-44,2,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,East,Suburbs,White suburban women,Version 4,0.552414298057556,White women,White,Connecticut,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Excellent,No impact,No impact,Becoming more divided
16161,63284,The Republican candidate,The Democratic candidate,Female,,18-24,White 18-29,1,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,South,Suburbs,White suburban women,Version 4,0.344072073698044,White women,White,Oklahoma,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,Donald Trump was not a factor,"Under $30,000","Under $50,000 and white",No,Poor,Hurt,Hurt,Becoming more divided
16170,63304,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,45-49,White 45-59,3,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban men,Version 4,0.630855262279511,White men,White, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16180,63319,The Democratic candidate,,Male,The Democratic candidate,50-59,Black 45-59,1,Associate's degree (AA or AS),No,Black Independent,Independent,Independent Men,Liberal,Liberal Independents,Black,East,Suburbs,Other,Version 4,0.22665588557720198,Black men,Non-white,Delaware,Seriously off on the wrong track,Omit,Omit,Unfavorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and non white",No,Good,No impact,No impact,Becoming more divided
16184,63333,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,45-49,White 45-59,8,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,East,"Cities over 500,000",Other,Version 4,2.7820346355438197,White men,White,Massachusetts,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
16185,63339,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,Black 30-44,9,Associate's degree (AA or AS),No,Black Independent,Independent,Independent Men,Moderate,Moderate Independents,Black,South,"Cities over 500,000",Other,Version 4,0.678419649600983,Black men,Non-white,Tennessee,Seriously off on the wrong track,Favorable,Both parties,Favorable,Better,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and non white",No,Good,No impact,No impact,Becoming more divided
16207,63384,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,Black 30-44,3,Never attended college,No,Black Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Black,East,"Cities over 500,000",Other,Version 4,0.31264930963516196,Black women,Non-white,Pennsylvania,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and non white",No,Not so good,No impact,No impact,Becoming more divided
16213,63400,The Republican candidate,,Male,The Republican candidate,40-44,White 30-44,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 4,0.585006654262543,White men,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Worse,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,Helped,Helped,Becoming more divided
16219,63408,The Republican candidate,,Female,The Republican candidate,40-44,White 30-44,3,Never attended college,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 4,0.504417538642883,White women,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
16220,63410,The Democratic candidate,,Female,The Democratic candidate,65 or over,White 60+,9,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Women,Liberal,Liberal Independents,White,East,Suburbs,White suburban women,Version 4,0.774595558643341,White women,White,New Jersey,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Hurt,Omit,Becoming more divided
16234,63445,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,Latino 45-59,4,Associate's degree (AA or AS),Yes,Latino Independent,Something else,Independent Women,Moderate,Moderate Independents,Hispanic/Latino,East,Suburbs,Other,Version 4,0.626545250415802,Latino women,Non-white, Maryland,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and non white",No,Not so good,Hurt,Hurt,Becoming more divided
16236,63449,The Democratic candidate,,Female,The Republican candidate,30-39,White 30-44,5,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,East,Suburbs,White suburban women,Version 4,0.601296901702881,White women,White,New Jersey,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Hurt,No impact,Staying about the same
16237,63451,The Republican candidate,The Republican candidate,Female,The Republican candidate,18-24,White 18-29,8,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 4,0.723261117935181,White women,White, Michigan,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,Helped,Helped,Becoming more united
16242,63457,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,25-29,White 18-29,18,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,East,"Cities 50,000-500,000",Other,Version 4,0.24243085086345698,White men,White,Pennsylvania,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
16248,63477,The Republican candidate,The Republican candidate,Female,,65 or over,White 60+,4,Never attended college,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,South,Rural,Other,Version 4,0.356073409318924,White women,White,Arkansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,Helped,Becoming more divided
16249,63478,The Republican candidate,,Female,The Republican candidate,45-49,White 45-59,6,Bachelor's degree (BA or BS),No,White Independent,Something else,Independent Women,Liberal,Liberal Independents,White,Midwest,Rural,Other,Version 4,0.697013378143311,White women,White,Missouri,Omit,Favorable,Both parties,Favorable,Better,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,Omit,No impact,Becoming more divided
16251,63487,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,Black 60+,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Black,West,"Cities 50,000-500,000",Other,Version 4,0.316622763872147,Black women,Non-white, New Mexico,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Good,Helped,No impact,Becoming more divided
16252,63488,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,Black 60+,9,Associate's degree (AA or AS),No,Black Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Black,South,"Cities over 500,000",Other,Version 4,1.2092580795288101,Black men,Non-white,Tennessee,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Not so good,Hurt,Hurt,Becoming more divided
16253,63489,The Democratic candidate,The Republican candidate,Male,The Democratic candidate,30-39,White 30-44,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,East,Suburbs,White suburban men,Version 4,0.265693753957748,White men,White,Rhode Island,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
16256,63496,The Democratic candidate,The Democratic candidate,Female,,18-24,White 18-29,4,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,South,Suburbs,White suburban women,Version 4,0.261115670204163,White women,White,Oklahoma,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16257,63497,The Republican candidate,,Male,The Republican candidate,40-44,White 30-44,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 4,0.585006654262543,White men,White,Missouri,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Helped,Helped,Becoming more divided
16264,63510,The Republican candidate,The Republican candidate,Male,,18-24,White 18-29,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Rural,Other,Version 4,1.1084063053131101,White men,White,Alabama,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,Helped,Becoming more united
16269,63517,The Republican candidate,The Republican candidate,Female,The Republican candidate,50-59,White 45-59,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,East,Suburbs,White suburban women,Version 4,1.26623213291168,White women,White, Maryland,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Better,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
16277,63535,The Democratic candidate,,Male,The Republican candidate,18-24,White 18-29,8,Never attended college,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban men,Version 4,0.515317380428314,White men,White, Michigan,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,Hurt,No impact,Becoming more divided
16278,63536,The Democratic candidate,,Male,The Republican candidate,18-24,White 18-29,8,Never attended college,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban men,Version 4,0.515317380428314,White men,White, Michigan,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,Hurt,No impact,Becoming more divided
16279,63537,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,40-44,White 30-44,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,East,Rural,Other,Version 4,0.23107784986495997,White men,White,Maine,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
16285,63558,The Republican candidate,,Male,The Republican candidate,60-64,White 60+,3,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 4,1.02624452114105,White men,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,No impact,Becoming more divided
16291,63566,The Republican candidate,,Male,The Republican candidate,50-59,White 45-59,4,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 4,0.585006654262543,White men,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
16298,63581,The Democratic candidate,,Male,The Democratic candidate,30-39,Black 30-44,2,Attended college but received no degree,No,Black Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 4,0.29772487282753,Black men,Non-white, Mississippi,Generally going in the right direction,Unfavorable,Neither party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and non white",No,Not so good,No impact,No impact,Becoming more divided
16299,63587,The Democratic candidate,Other,Male,The Democratic candidate,65 or over,White 60+,5,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,East,Rural,Other,Version 4,0.74101310968399,White men,White,Connecticut,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Helped,Hurt,Becoming more divided
16304,63597,The Republican candidate,The Democratic candidate,Female,,50-59,White 45-59,1,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,South,Suburbs,White suburban women,Version 4,0.439989894628525,White women,White,Oklahoma,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,No impact,Helped,Becoming more divided
16309,63612,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,2,Never attended college,No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,East,Suburbs,White suburban women,Version 4,0.330448031425476,White women,White,Rhode Island,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and white",No,Poor,Hurt,Hurt,Becoming more divided
16311,63614,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,2,Never attended college,No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,East,Suburbs,White suburban women,Version 4,0.330448031425476,White women,White,Rhode Island,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and white",No,Poor,Hurt,Hurt,Becoming more divided
16321,63638,The Democratic candidate,,Female,The Democratic candidate,40-44,All others,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Other,Independent,Independent Women,Liberal,Liberal Independents,Other,East,Suburbs,Other,Version 4,0.676459014415741,All other races,Non-white,New Jersey,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Not so good,Hurt,Hurt,Becoming more divided
16325,63645,The Democratic candidate,The Republican candidate,Female,,18-24,White 18-29,14,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban women,Version 4,0.38032600283622703,White women,White, Illinois,Omit,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16330,63651,The Democratic candidate,,Male,The Democratic candidate,18-24,Latino 18-29,9,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Hispanic/Latino,East,Suburbs,Other,Version 4,0.48833733797073403,Latino men,Non-white,New Jersey,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and non white",No,Good,Hurt,Hurt,Becoming more divided
16334,63666,The Republican candidate,,Female,,25-29,White 18-29,5,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,East,Rural,Other,Version 4,0.343563854694366,White women,White,Connecticut,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Not so good,No impact,No impact,Becoming more united
16337,63680,The Republican candidate,,Female,The Republican candidate,50-59,White 45-59,1,Associate's degree (AA or AS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,East,Suburbs,White suburban women,Version 4,0.190715298056602,White women,White,Delaware,Seriously off on the wrong track,Favorable,Both parties,Favorable,Worse,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
16338,63681,The Democratic candidate,,Male,The Democratic candidate,18-24,White 18-29,1,Attended college but received no degree,No,White Independent,Something else,Independent Men,Moderate,Moderate Independents,White,East,Suburbs,White suburban men,Version 4,0.157204449176788,White men,White,Delaware,Seriously off on the wrong track,Favorable,Both parties,Favorable,Worse,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,Hurt,Staying about the same
16340,63687,The Republican candidate,,Male,The Republican candidate,60-64,White 60+,4,Never attended college,No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,Midwest,Suburbs,White suburban men,Version 4,1.0985152721405,White men,White,Missouri,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16342,63691,The Republican candidate,The Democratic candidate,Female,,40-44,All others,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,American Indian,South,Suburbs,Other,Version 4,0.439989894628525,All other races,Non-white,Oklahoma,Seriously off on the wrong track,Favorable,Both parties,Favorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and non white",No,Not so good,Hurt,No impact,Becoming more divided
16343,63692,The Democratic candidate,The Democratic candidate,Female,Other,30-39,White 30-44,2,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,East,Suburbs,White suburban women,Version 4,0.19605092704296104,White women,White,Maine,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16349,63707,The Republican candidate,The Republican candidate,Female,,45-49,White 45-59,4,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,South,Rural,Other,Version 4,1.2055760622024498,White women,White,Alabama,Generally going in the right direction,Favorable,Both parties,Favorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,No impact,No impact,Becoming more united
16356,63722,The Republican candidate,,Female,The Republican candidate,45-49,White 45-59,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 4,0.504417538642883,White women,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,$200.000 or more,"Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
16364,63743,The Republican candidate,,Male,The Republican candidate,60-64,White 60+,5,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,East,Suburbs,White suburban men,Version 4,1.5715186595916701,White men,White,New Jersey,Omit,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Helped,Becoming more divided
16368,63752,The Republican candidate,The Republican candidate,Female,The Republican candidate,25-29,White 18-29,2,Attended college but received no degree,No,White Independent,Something else,Independent Women,Moderate,Moderate Independents,White,East,Suburbs,White suburban women,Version 4,0.17188669741153698,White women,White,Maine,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",Yes,Good,No impact,Helped,Becoming more divided
16378,63767,The Republican candidate,,Male,The Republican candidate,65 or over,White 60+,9,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,East,Suburbs,White suburban men,Version 4,1.32007563114166,White men,White,New Jersey,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,Helped,Becoming more divided
16387,63793,The Republican candidate,The Republican candidate,Male,,60-64,White 60+,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Rural,Other,Version 4,0.36722362041473405,White men,White,Arkansas,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16394,63814,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,White 30-44,1,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Liberal,Liberal Independents,White,South,Suburbs,White suburban women,Version 4,0.8448046445846559,White women,White,Florida,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,Omit,Becoming more divided
16395,63815,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,25-29,White 18-29,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,East,"Cities 50,000-500,000",Other,Version 4,0.30725634098053006,White women,White,Connecticut,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and white",No,Not so good,No impact,Hurt,Staying about the same
16415,63855,The Democratic candidate,,Female,The Democratic candidate,50-59,White 45-59,1,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,East,Suburbs,White suburban women,Version 4,0.14923307299614,White women,White,Delaware,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
16418,63863,The Democratic candidate,,Female,The Democratic candidate,25-29,Black 18-29,2,Attended college but received no degree,No,Black Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 4,0.22397136688232397,Black women,Non-white, Mississippi,Generally going in the right direction,Unfavorable,Neither party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and non white",No,Not so good,No impact,No impact,Becoming more divided
16424,63878,The Democratic candidate,,Female,The Democratic candidate,30-39,White 30-44,3,Associate's degree (AA or AS),No,White Independent,Independent,Independent Women,Liberal,Liberal Independents,White,South,Suburbs,White suburban women,Version 4,0.36480602622032204,White women,White, Mississippi,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",Yes,Not so good,Hurt,Hurt,Becoming more divided
